timestamp,violation,confidence,severity,frame,location,person_id,metadata
2025-10-08 04:26:13,NO-Hardhat,0.9264016151428223,High,30,"(88.92332458496094,0.0,534.6507568359375,104.0115966796875)",1,None
2025-10-08 04:26:13,NO-Mask,0.9176333546638489,Low,30,"(95.20626831054688,0.0,523.9305419921875,235.08349609375)",1,None
2025-10-08 04:26:15,Person,2.0,None,31,"(0,0,0,0)",0,{'total_persons': 2}
2025-10-08 04:26:15,NO-Safety Vest,0.9085483551025391,Medium,31,"(85.2203369140625,0.0,548.8001708984375,375.4522705078125)",2,None
2025-10-08 04:26:15,NO-Mask,0.880449652671814,Low,31,"(101.91648864746094,0.0,537.5067138671875,233.82568359375)",2,None
2025-10-08 04:26:15,NO-Hardhat,0.8168550729751587,High,31,"(97.19435119628906,0.0,544.7261962890625,105.62037658691406)",2,None
2025-10-08 04:26:15,NO-Mask,0.7665876150131226,Low,31,"(83.22428131103516,42.05810546875,325.3604431152344,328.7916259765625)",1,None
2025-10-08 04:26:16,Person,0.0,None,32,"(0,0,0,0)",0,{'total_persons': 0}
2025-10-08 04:26:16,Person,0.0,None,33,"(0,0,0,0)",0,{'total_persons': 0}
2025-10-08 04:26:17,Person,0.0,None,34,"(0,0,0,0)",0,{'total_persons': 0}
2025-10-08 04:26:18,Person,0.0,None,35,"(0,0,0,0)",0,{'total_persons': 0}
2025-10-08 04:26:19,Person,1.0,None,36,"(0,0,0,0)",0,{'total_persons': 1}
2025-10-08 04:26:19,NO-Mask,0.8766131401062012,Low,36,"(95.20587158203125,0.0,555.953857421875,236.44378662109375)",1,None
2025-10-08 04:26:19,NO-Hardhat,0.8725545406341553,High,36,"(95.22593688964844,0.0,581.2509155273438,94.99798583984375)",1,None
2025-10-08 04:26:19,NO-Safety Vest,0.865309476852417,Medium,36,"(0.0,0.0,478.9427795410156,377.0483093261719)",1,None
2025-10-08 04:26:20,Person,2.0,None,37,"(0,0,0,0)",0,{'total_persons': 2}
2025-10-08 04:26:20,NO-Mask,0.7962327599525452,Low,37,"(97.46157836914062,0.0,548.2032470703125,247.59466552734375)",1,None
2025-10-08 04:26:20,NO-Safety Vest,0.7889251112937927,Medium,37,"(0.0,0.0,402.97967529296875,377.0361022949219)",1,None
2025-10-08 04:26:21,Person,1.0,None,38,"(0,0,0,0)",0,{'total_persons': 1}
2025-10-08 04:26:21,NO-Safety Vest,0.8666447401046753,Medium,38,"(0.0,0.0,436.898681640625,379.801025390625)",1,None
2025-10-08 04:26:21,NO-Mask,0.7949352264404297,Low,38,"(97.53572082519531,0.0,550.6416015625,236.53488159179688)",1,None
2025-10-08 04:26:22,Person,1.0,None,39,"(0,0,0,0)",0,{'total_persons': 1}
2025-10-08 04:26:22,NO-Mask,0.8808366656303406,Low,39,"(107.25399780273438,0.0,574.24951171875,242.57269287109375)",1,None
2025-10-08 04:26:22,NO-Safety Vest,0.8121545910835266,Medium,39,"(53.84765625,0.0,542.9728393554688,383.8143005371094)",1,None
2025-10-08 04:26:22,NO-Mask,0.7844700217247009,Low,39,"(40.51420593261719,1.83013916015625,258.0123291015625,223.55596923828125)",1,None
2025-10-08 04:26:22,NO-Hardhat,0.7664530873298645,High,39,"(100.27095031738281,0.0,593.4798583984375,116.81631469726562)",1,None
2025-10-08 04:26:23,Person,1.0,None,40,"(0,0,0,0)",0,{'total_persons': 1}
2025-10-08 04:26:23,NO-Mask,0.8388810753822327,Low,40,"(113.38040161132812,0.0,577.4041748046875,249.74063110351562)",1,None
2025-10-08 04:26:23,NO-Hardhat,0.8058244585990906,High,40,"(99.51229858398438,0.0,589.99560546875,116.48617553710938)",1,None
2025-10-08 04:26:23,NO-Mask,0.7600699067115784,Low,40,"(52.08800506591797,0.0,294.13214111328125,230.31451416015625)",1,None
2025-10-08 04:26:24,Person,1.0,None,41,"(0,0,0,0)",0,{'total_persons': 1}
2025-10-08 04:26:24,NO-Hardhat,0.8952164649963379,High,41,"(101.74177551269531,0.0,589.627685546875,115.7994384765625)",1,None
2025-10-08 04:26:24,NO-Mask,0.8726296424865723,Low,41,"(55.5130615234375,8.778861999511719,298.1299133300781,246.58529663085938)",1,None
2025-10-08 04:26:25,Person,1.0,None,42,"(0,0,0,0)",0,{'total_persons': 1}
2025-10-08 04:26:25,NO-Hardhat,0.8645800352096558,High,42,"(105.77462768554688,0.0,589.619140625,119.76762390136719)",1,None
2025-10-08 04:26:25,NO-Mask,0.8362311720848083,Low,42,"(110.44404602050781,0.0,576.5813598632812,250.72723388671875)",1,None
2025-10-08 04:26:25,NO-Mask,0.8130762577056885,Low,42,"(59.56648254394531,2.683074951171875,311.204345703125,226.65792846679688)",1,None
2025-10-08 04:26:26,Person,1.0,None,43,"(0,0,0,0)",0,{'total_persons': 1}
2025-10-08 04:26:26,NO-Mask,0.9144140481948853,Low,43,"(106.60929870605469,0.0,559.2171020507812,252.77752685546875)",1,None
2025-10-08 04:26:26,NO-Safety Vest,0.8737785220146179,Medium,43,"(0.0,0.0,479.2804870605469,382.03582763671875)",1,None
2025-10-08 04:26:26,NO-Hardhat,0.8719868659973145,High,43,"(101.20242309570312,0.0,565.6148681640625,127.45802307128906)",1,None
2025-10-08 04:26:26,Unsafe Posture: Bending,0.9,Medium,43,"(0.0,0.0,432.58355712890625,234.31878662109375)",1,None
2025-10-08 04:26:27,Person,0.0,None,44,"(0,0,0,0)",0,{'total_persons': 0}
2025-10-08 04:26:28,Person,1.0,None,45,"(0,0,0,0)",0,{'total_persons': 1}
2025-10-08 04:26:28,NO-Mask,0.9201755523681641,Low,45,"(92.75689697265625,0.0,512.117431640625,241.68548583984375)",1,None
2025-10-08 04:26:28,NO-Hardhat,0.7754457592964172,High,45,"(67.52633666992188,0.0,500.2248840332031,93.99392700195312)",1,None
2025-10-08 04:26:29,Person,1.0,None,46,"(0,0,0,0)",0,{'total_persons': 1}
2025-10-08 04:26:29,NO-Safety Vest,0.910957932472229,Medium,46,"(0.0,0.0,301.51080322265625,391.3743896484375)",1,None
2025-10-08 04:26:29,NO-Hardhat,0.9094055891036987,High,46,"(19.451797485351562,0.0,293.76605224609375,138.6424560546875)",1,None
2025-10-08 04:26:29,NO-Mask,0.7813771963119507,Low,46,"(38.64909362792969,0.0,312.9139404296875,242.7967529296875)",1,None
2025-10-08 04:26:30,Person,1.0,None,47,"(0,0,0,0)",0,{'total_persons': 1}
2025-10-08 04:26:31,Person,1.0,None,48,"(0,0,0,0)",0,{'total_persons': 1}
2025-10-08 04:26:32,Person,1.0,None,49,"(0,0,0,0)",0,{'total_persons': 1}
2025-10-08 04:32:13,Person,1.0,None,1,"(0,0,0,0)",0,{'total_persons': 1}
2025-10-08 04:32:13,NO-Safety Vest,0.9256614446640015,Medium,1,"(0.0,2.12042236328125,519.6862182617188,422.09814453125)",1,None
2025-10-08 04:32:17,NO-Mask,0.8977102041244507,Low,1,"(107.69636535644531,5.354034423828125,569.1661987304688,312.6205139160156)",1,None
2025-10-08 04:32:17,NO-Hardhat,0.8938490152359009,High,1,"(77.0372314453125,0.0,555.3184814453125,163.93804931640625)",1,None
2025-10-08 04:32:18,Person,1.0,None,2,"(0,0,0,0)",0,{'total_persons': 1}
2025-10-08 04:32:18,NO-Safety Vest,0.9360083937644958,Medium,2,"(0.0,0.0,400.4129943847656,401.3612060546875)",1,None
2025-10-08 04:32:18,NO-Mask,0.867946207523346,Low,2,"(84.77008056640625,0.0,448.48773193359375,248.75180053710938)",1,None
2025-10-08 04:32:18,NO-Hardhat,0.8661723732948303,High,2,"(72.5372314453125,0.0,439.22845458984375,147.19049072265625)",1,None
2025-10-08 04:32:19,Person,1.0,None,3,"(0,0,0,0)",0,{'total_persons': 1}
2025-10-08 04:32:19,NO-Hardhat,0.922034502029419,High,3,"(59.71083068847656,0.0,429.40753173828125,137.76699829101562)",1,None
2025-10-08 04:32:19,NO-Safety Vest,0.848444402217865,Medium,3,"(0.0,0.0,392.6324462890625,395.48333740234375)",1,None
2025-10-08 04:32:19,NO-Mask,0.820113480091095,Low,3,"(88.88644409179688,2.611419677734375,441.9753112792969,267.54913330078125)",1,None
2025-10-08 04:32:20,Person,1.0,None,4,"(0,0,0,0)",0,{'total_persons': 1}
2025-10-08 04:32:20,NO-Safety Vest,0.9210308790206909,Medium,4,"(0.0,0.0,387.6236572265625,388.93865966796875)",1,None
